Course Full Name,Course Code,Sustainability,Climate,3-6-9,Enrollment Insights,Links ,Prereqs / Potential Barriers,Notes ,Notes,Demand,,,,,,,,,,,,,,,,,,,,
ASIC 200 Global Issues in the Arts and Sciences,ASIC_V 200,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ASIC&course=200,Second year standing in FoA of FoS; enrolment restricted to 45 FoS students,Selected global issues explored through the methodologies and perspectives of both the physical and life sciences and the humanities and social sciences.,,,,,,,,,,,,,,,,,,,,,,
ASIC 220 Introduction to Sustainability,ASIC_V 220,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ASIC&course=220,Second-year standing,"Sustainability examined from scientific, economic, and societal perspectives.",,,,,,,,,,,,,,,,,,,,,,
ATSC 313 Renewable Energy Meteorology,ATSC_V 313,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ATSC&course=313,"One of: MATH 101,103,105,121; AND one of PHYS 101, 106,107,117,131,157; AND one of APSC 160, CPSC 103,110, DSCI 100, EOSC 211","The meteorology of hydro, wind, and solar power. Atmospheric processes affecting renewable energy on global, regional & local weather scales.",,,,,,,,,,,,,,,,,,,,,,
ATSC 413: Forest Fire Weather and Climate,ATSC_V 413,TRUE,TRUE,FALSE,New course for Fall 2023; does not appear to be full,https://www.eoas.ubc.ca/courses/atsc413/,"One of ATSC 201, GEOS 200","New for Fall 2023; ATSC 413 is designed to educate highly qualified personnel with the technical skill-set to forecast forest-fire weather, to anticipate evolution of fire hazards associated with a changing climate, and to advise on sustainable fire-mitigation policies.  A large portion of this new course is on synoptics (i.e., weather forecasting).  Students in ATSC 413 will learn how to interpret, communicate, and apply modern numerical weather prediction (NWP)-based forecasting (Bauer et al 2015, Stuart et al, 2022) to fire-weather issues.",,,,,,,,,,,,,,,,,,,,,,
ASTR 101 Introduction to the Solar System,ASTR_V 101,TRUE,FALSE,FALSE,,,provided by Carl Michal,,,,,,,,,,,,,,,,,,,,,,,
ASTR 310 Exploring the Universe: The Solar System,ASTR_V 310,TRUE,FALSE,FALSE,,,provided by Carl Michal,,,,,,,,,,,,,,,,,,,,,,,
ASTR 333 Exoplanets adn Astrobiology,ASTR_V 333,TRUE,FALSE,FALSE,,,provided by Carl Michal,,,,,,,,,,,,,,,,,,,,,,,
ASTR 407-507 Planetary Science,ASTR_V 407,TRUE,FALSE,FALSE,,,provided by Carl Michal,,,,,,,,,,,,,,,,,,,,,,,
BIOL 111 Introduction to Modern Biology,BIOL_V 111,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=111,Not open to students who have taken Biology 11 or 12 in high school,"Concepts fundamental to biological issues, such as the genetic basis of biological variation, evolution, infectious diseases, causes of cancer, population growth, and human effects on ecosystems. ","Not open to students who have credit for Biology 12 (including AP, IB).",,,,,,,,,,,,,,,,,,,,,
"BIOL 121 Genetics, Evolution & Ecology",BIOL_V 121,TRUE,TRUE,FALSE,,https://biologyprogram.sites.olt.ubc.ca/files/2019/08/Syllabus_BIOL121_2019.pdf,"One of BIOL 11, BIOL 12, BIOL 111",This course serves ~2000 students per year; it is required for Life Sciences students; it is a pre-req for many BIOL and MICB courses,,,,,,,,,,,,,,,,,,,,,,
BIOL 155 Human Biology: Physiology & Introductory Anatomy,BIOL_V 155,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=155,"One of CHEM 12, CHEM 100, 110, 111; One of BIOL 11, BIOL 12, BIOL 111",Foundational for planetary / human health.  Prep for health sciences professional degrees; focus is to study human biology and understand how its physical structure and physiological chnages enable the human body to adapt to varying environmental challenges,,,,,,,,,,,,,,,,,,,,,,
BIOL 180: Thinking Like a Life Scientist,BIOL_V 180,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=180; chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://biologyprogram.sites.olt.ubc.ca/files/2023/02/Syllabus_BIOL180_2023.pdf,"One of BIOL 11, BIOL 12; BIOL 111","Foundational for planetary / human health. Aims to teach you to think scientifically about the research process, communicate science to a general audience, and work collaboratively to reach a shared goal",,,,,,,,,,,,,,,,,,,,,,
"BIOL 209 Biodiversity of Algae, Fungi and Bryophytes",BIOL_V 209,TRUE,TRUE,FALSE,,https://biologyprogram.sites.olt.ubc.ca/files/2019/09/Syllabus_BIOL209_2019.pdf,"One of: BIOL 121, SCIE 001; OR, 8 transfer credits of first year biology",Biodiversity focus,,,,,,,,,,,,,,,,,,,,,,
BIOL 210 Vascular Plants,BIOL_V 210,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL 230 Fundamentals of Ecology,BIOL_V 230,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=230,One of: BIOL 121; SCIE 001,"Dynamics of plant and animal populations, structure of ecological communities and functioning of ecosystems. Interpretation of research results and application to environmental issues. Labs meet once a month. Please consult the Faculty of Science Credit Exclusion Lists:",Calendar indicates many sections blocked,,,,,,,,,,,,,,,,,,,,,
BIOL 306 Advanced Ecology,BIOL_V 306,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=306,"BIOL 230; ""Non-biology students interested in taking these courses are to register themselves on the waitlist and will be considered after all biology students are successfully registered into the course from the waitlist.""","Ecology of populations, communities and ecosystems. Tests of ecological theory with experiments and application to environmental issues. Labs meet once a month. ",BIOL 230 is prereq,,,,,,,,,,,,,,,,,,,,,
BIOL 314 Elements of Biodiversity,BIOL_V 314,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=314,"One of APBI 260, BIOL 230; FRST 201; GEOB 207; GEOS 207","The units of biodiversity, from genes to ecosystems, how they are structured in space, and their importance to human well-being and ecosystem health.","Pre-reqs: One of APBI 260, BIOL 230, FRST 201, GEOB 207, GEOS 207.","Pre-reqs: One of APBI 260, BIOL 230, FRST 201, GEOB 207, GEOS 207.",,,,,,,,,,,,,,,,,,,,
BIOL 300 Fundamentals of Biostatistics,BIOL_V 300,TRUE,TRUE,FALSE,,https://biologyprogram.sites.olt.ubc.ca/files/2019/08/Syllabus_BIOL300_2019.pdf,"Either BIOL 121 and one of MATH 101, 103, 105, 121 OR SCIE 001","Statistical procedures for biological research; estimation, hypothesis testing, goodness of fit, analysis of variance and regression; use of computers for statistical analysis.",,,,,,,,,,,,,,,,,,,,,,
BIOL 301 Biomathematics,BIOL_V 301,TRUE,TRUE,FALSE,,https://biologyprogram.sites.olt.ubc.ca/files/2019/07/Syllabus_BIOL301_2019.pdf,One of BIOL 300 or STAT 200,Introduction to uses of mathematics in the biological sciences; experimental design and modelling of biological processes.,,,,,,,,,,,,,,,,,,,,,,
BIOL 306 Advanced Ecology,BIOL_V 306,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=306,"BIOL 230; ""Non-biology students interested in taking these courses are to register themselves on the waitlist and will be considered after all biology students are successfully registered into the course from the waitlist.""",,,,,,,,,,,,,,,,,,,,,,,
BIOL 343 Plants and Peoples,BIOL_V 343,TRUE,TRUE,FALSE,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://biologyprogram.sites.olt.ubc.ca/files/2020/02/Syllabus_BIOL343_2020.pdf,Restricted to students in year 3 or 4,"The interactions of plants and human societies: the role of people in the origin, evolution and dispersal of food, drug and economic plants, and the influences of plants on human societies. Suitable for upper-level Arts students.",,,,,,,,,,,,,,,,,,,,,,
BIOL 347 Principles & Methodology in Biological Research,BIOL_V 347,TRUE,FALSE,FALSE,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://biologyprogram.sites.olt.ubc.ca/files/2019/08/Syllabus_BIOL347_2019.pdf,,A course on contemporary research in the Botany and Zoology Departments; history and methodology of scientific discovery; and seminars on current problems. Restricted to Honours students in Biology.,,,,,,,,,,,,,,,,,,,,,,
BIOL 348: Biology of Cannabis,BIOL_V 348,TRUE,TRUE,FALSE,New for Fall 2023; appears to be blocked from registration by BIOL program; seats are remaining,,New for Fall 2023? Doesn't appear to have a lab; A minimum of 3rd year standing,New for Fall 2023?,,,,,,,,,,,,,,,,,,,,,,
BIOL 411 Insect Ecology,BIOL_V 411,TRUE,FALSE,FALSE,,,,"Behavioural, population and community ecology of insects. Interactions between insects and plants and the application of the principles of insect ecology to biological control of insects and weeds.",,,,,,,,,,,,,,,,,,,,,,
BIOL 413 Zoogeography,BIOL_V 413,TRUE,FALSE,FALSE,,,,"The role of physical, ecological, and evolutionary processes in determining the geographic distribution of animals including humans, with implications for speciation and conservation. Restricted to students in third and fourth year.",Restricted to 3/4 year,,,,,,,,,,,,,,,,,,,,,
BIOL 416 Principles of Conservation Biology,BIOL_V 416,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=416,Consult Faculty of Science Credit Exclusion List; One of BIOL 230; FRST 201 ,"Ecological basis of conserving biological diversity and ecosystem services; application of ecological theory to global and local conservation problems in the context of economic, legal, political, and social perspectives.",BIOL 230 or FRST 201 prereq,,,,,,,,,,,,,,,,,,,,,
BIOL 420 Ocean Conservation and Sustainability,BIOL_V 420,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=420,Restricted to students in year >=4,"An interdisciplinary conservation course with a solutions-oriented approach to marine issues, drawing from natural sciences, social sciences, business, law, and communication.",Blocked; have to have a fourth year standing,,,,,,,,,,,,,,,,,,,,,
BIOL 421 Plant-Microbe Interactions,BIOL_V 421,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=421,,Biology and physiology of selected plant-microbe relationships. Impacts of plant-microbe relationships on society.,Blocked; lots of prereqs,,,,,,,,,,,,,,,,,,,,,
BIOL 424 Tropical Ecology and Conservation,BIOL_V 424,TRUE,FALSE,FALSE,,,,"Ecology, function, history and conservation of tropical systems. Focus on ecological and evolutionary principles using tropical landscapes as a geographic template. Assessment of factors that make tropical systems vulnerable to degradation. Research project development using analysis of tropical ecology literature.",,,,,,,,,,,,,,,,,,,,,,
BIOL 427 Ornithology and Herpetology,BIOL_V 427,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=427,,"Ecology, evolution, behavior, and conservation of birds, amphibians, and reptiles. Laboratories and field projects will focus on identification, systematics, and natural history, with particular attention to species from British Columbia.",,,,,,,,,,,,,,,,,,,,,,
BIOL 465 Diversity and Evolution of Fishes,BIOL_V 465,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=BIOL&course=465,,"Introduction to fish diversity, with a focus on their phylogenetic interrelationships and the evolutionary, ecological, and biogeographic processes involved in generating patterns of fish biodiversity.",,,,,,,,,,,,,,,,,,,,,,
CHEM 121 Structure and Bonding in Chemistry,CHEM_V 121,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 301 Aqueous Environmental Chemistry,CHEM_V 301,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM 302 Atmospheric Environmental Chemistry,CHEM_V 302,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=CHEM&course=302,,"Introduction to structure, composition and chemical processes occurring in Earth's atmosphere, including interactions with solar radiation, stratospheric ozone layer, photochemical smog and acid rain.","Prereq - Chem 123, 130, CHBE 220; Third Year standing",,,,,,,,,,,,,,,,,,,,,
CHEM 341 Global Challenges: A Chemical Perspective,CHEM_V 341,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=CHEM&course=341,,"Importance of chemistry in society. Detailed case studies drawn from modern chemistry: human health, energy, commodity chemicals, materials, green chemistry, agriculture.",Series of second year Chem prereqs,,,,,,,,,,,,,,,,,,,,,
CHEM 418 Organometallic Chemistry,CHEM_V 418,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVR 200 Introduction to Environmental Science,ENVR_V 200,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ENVR&course=200,Open to all students with second year or higher standing,"Seminars and field trips introducing the major global, regional, and local environmental issues facing human societies.",Open to students in 2nd year or higher,,,,,,,,,,,,,,,,,,,,,
ENVR 201 Climate Action Lab 1,ENVR_V 201,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ENVR&course=201,,Community-engaged climate action projects; skill building for climate action.,,,,,,,,,,,,,,,,,,,,,,
ENVR 300 Introduction to Research in Environmental Science,ENVR_V 300,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ENVR&course=300,Open to all students with 3rd year or higher standing in the Faculty of Science,Environmental research. Students investigate research methodologies and reporting in a range of scientific disciplines and fields.,Open to students in 3rd year or higher,,,,,,,,,,,,,,,,,,,,,
ENVR 302 Climate Action Lab 1 and 2,ENVR_V 302,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ENVR&course=302,3rd year standing and approval from the Climate STudies and Action Certificate Program Administrator,Community-engaged climate action projects; skill building for climate action.,Open to students in 3rd year or higher,,,,,,,,,,,,,,,,,,,,,
ENVR 400 Community Project in Environmental Science,ENVR_V 400,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ENVR&course=400,ENVR 300,"Instructor-guided collaboration between student teams and community partners on community-based environmental science projects. Teams articulate project questions and goals, devise methods, conduct research and communicate results. Credit will be given for only one of ENVR 400 or ENVR 449.",Prereq ENVR 300,,,,,,,,,,,,,,,,,,,,,
"ENVR 410 Energy, Environment, and Society",ENVR_V 410,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ENVR&course=410,"4th year standing in BSC, BASC or related programs","The role of energy in human societies throughout history and the environmental and social implications of energy use. Coverage of both the science and policy of energy use. Energy supply and demand, energy transitions, analytical tools, impacts, and alternatives.",4th year standing in BSc or BA programs,,,,,,,,,,,,,,,,,,,,,
